YouTube,CBS,2 Broke Girls,https://gdata.youtube.com/feeds/base/users/2brokeGirls/uploads
News,CBS News,48 Hours,http://www.cbsnews.com/latest/rss/48-hours
News,CBS News,60 Minutes,http://www.cbsnews.com/latest/rss/60-minutes        
YouTube,NBC,A to Z,https://gdata.youtube.com/feeds/base/users/NBCAtoZ/uploads
Opinion,The Hill,A.B. Stoddard,http://thehill.com/taxonomy/term/1118/feed
YouTube,NBC,About a Boy,https://gdata.youtube.com/feeds/base/users/NBCAboutaBoy/uploads
Sports,ESPN,ACC,http://espn.go.com/blog/feed?blog=acc   
Sports,ESPN,Adam-Rittenberg   ,http://search.espn.go.com/rss/adam-rittenberg/   
Health,Consumer Product Safety  Commission,Adler Statements,http://www.cpsc.gov/en/Newsroom/CPSC-RSS-Feed/Adler-Statements/
News,The Hill,Administration,http://thehill.com/taxonomy/term/1132/feed
Sports,ESPN,AFC East,http://espn.go.com/blog/feed?blog=afceast   
Political,Library of Congress,AFC Events,http://www.loc.gov/rss/afc/events.xml
Sports,ESPN,AFC North,http://espn.go.com/blog/feed?blog=afcnorth   
Sports,ESPN,AFC South,http://espn.go.com/blog/feed?blog=afcsouth   
Sports,ESPN,AFC West,http://espn.go.com/blog/feed?blog=afcwest   
Technology,Ars Technica,All,http://feeds.arstechnica.com/arstechnica/index?format=xml
Opinion,The Hill,All Columnists,http://thehill.com/rss/syndicator/19137
News,MSNBC,All In with Chris Hayes,http://www.msnbc.com/feeds/rss/show/44817
Health,Consumer Product Safety  Commission,All Recalls RSS,http://www.cpsc.gov/en/Newsroom/CPSC-RSS-Feed/All-Recalls-RSS/
Health,MedPage Today,Allergy & Immunology,http://www.medpagetoday.com/rss/AllergyImmunology.xml
Finance,USNews.com,Alpha Consumer ,http://www.usnews.com/blogrss/alpha-consumer
YouTube,NBC,America's Got Talent,https://gdata.youtube.com/feeds/base/users/AmericasGotTalent/uploads
YouTube,NBC,American Ninja Warrior,https://gdata.youtube.com/feeds/base/users/AmericanNinjaWarrior/uploads
News,BBC,Americas: World Edition,http://newsrss.bbc.co.uk/rss/newsonline_world_edition/americas/rss.xml
Sports,ESPN,Amy-Nelson   ,http://search.espn.go.com/rss/amy-nelson/   
Sports,ESPN,Andy Glockner    ,http://search.espn.go.com/rss/andy-glockner/  
Sports,ESPN,Andy Katz    ,http://search.espn.go.com/rss/andy-katz/   
Health,MedPage Today,Anesthesiology,http://www.medpagetoday.com/rss/Anesthesiology.xml
Photos,Animal of the Day,Animal of the Day,http://feeds.feedburner.com/animals
Health,Consumer Product Safety  Commission,Appliances Technical Report,http://www.cpsc.gov/en/Newsroom/CPSC-RSS-Feed/Appliances-Technical-Report-/
Sports,Major League Baseball,Arizona Diamondbacks,http://mlb.mlb.com/partnerxml/gen/news/rss/ari.xml
Education,Smarbrief,ASCD,http://www.smartbrief.com/servlet/rss?b=ASCD
Finance,Forbes,Asia News,http://www.forbes.com/asia_news/index.xml
Sports,Major League Baseball,Atlanta Braves,http://mlb.mlb.com/partnerxml/gen/news/rss/atl.xml
Health,Consumer Product Safety  Commission,ATV Injury Statistics,http://www.cpsc.gov/en/Newsroom/CPSC-RSS-Feed/ATV-Injury-Statistics/
Weather,FEMA,Audio,http://www.fema.gov/media-library/assets/audio/rss.xml
Finance,Market Watch,Automotive Reviews,http://www.marketwatch.com/rss/Autoreviews
Finance,Forbes,Autos,http://www.forbes.com/autos/index.xml
Sports,ESPN,Autos Headlines   ,http://sports.espn.go.com/espn/rss/rpm/news
YouTube,NBC,Bad Judge,https://gdata.youtube.com/feeds/base/users/NBCBadJudge/uploads
News,The Hill,Ballot Box,http://thehill.com/taxonomy/term/29/feed
